
NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
L 1373 LN      	2024-08-22	21:56:45	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	21:56:45	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
1B 1882 SEO    	2024-08-22	21:56:46	genap       	aJOZeVXPm3VDRF+4DJvtMw==        
B 1882 SEO     	2024-08-22	21:56:47	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-22	21:56:47	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1682 SEO     	2024-08-22	21:56:48	genap       	AKzAmxR6xGE3pblM6l+BkA==        
B 1505 ZF      	2024-08-22	21:56:48	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        
B 1505 ZFX     	2024-08-22	21:56:49	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
8 1882 SEO     	2024-08-22	21:56:50	genap       	uiRmZFOnHpFNpGxAwMVzCQ==        
B 1882 SEO     	2024-08-22	21:56:50	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 2123 YJ      	2024-08-22	21:56:51	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 1609 PDN     	2024-08-22	21:56:51	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDH     	2024-08-22	21:56:52	ganjil      	krcMGvWJ+lxJUdvV/pai2Q==        
B 1609 PDN     	2024-08-22	21:56:53	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 2526 KMB     	2024-08-22	21:56:53	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-22	21:56:54	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-22	21:56:54	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1505 ZFX     	2024-08-22	21:56:55	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:56:56	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:56:56	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:56:57	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-22	21:56:57	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
iB 2123 YJ     	2024-08-22	21:56:58	ganjil      	fPgZm5d4v0t28XZ622I2tA==        
B 2123 YJ      	2024-08-22	21:56:59	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-22	21:56:59	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
q 2123 YJ      	2024-08-22	21:57:00	ganjil      	eLHz2JC6R2sgxvLUqfuHgQ==        
B 1095 LKU     	2024-08-22	21:57:01	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-22	21:57:01	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-22	21:57:02	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 UKU     	2024-08-22	21:57:02	ganjil      	wkNm8GeXDSJ1wIKJ2Rc+Iw==        
L 1373 LN      	2024-08-22	21:57:03	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	21:57:04	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-22	21:57:04	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
B 1882 SEO     	2024-08-22	21:57:05	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-22	21:57:05	genap       	XHnwdj5OE4hbvNCLdlVnVw==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    	Waktu Enkripsi 
B 1609 PDM     	2024-08-23	00:09:55	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        	0.002001       
B 1609 PDN     	2024-08-23	00:09:56	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.000000       
B 1609 PDM     	2024-08-23	00:09:57	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        	0.000000       
B 1669 PDM     	2024-08-23	00:09:57	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        	0.000000       
B 1669 PDM     	2024-08-23	00:09:58	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        	0.000000       
B 1505 ZFX     	2024-08-23	00:09:59	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
B 1505 ZFX     	2024-08-23	00:09:59	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
B 2526 KMB     	2024-08-23	00:10:00	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000000       
B 2526 KMB     	2024-08-23	00:10:01	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000000       
B 1095 LKU     	2024-08-23	00:10:01	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000000       
B 1095 LKU     	2024-08-23	00:10:02	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000000       
B 2123 YJ      	2024-08-23	00:10:03	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000000       
B 2123 YJ      	2024-08-23	00:10:04	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000000       
B 2123 YJ      	2024-08-23	00:10:04	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000000       
L 1373 LN      	2024-08-23	00:10:05	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000000       
L 1373 LN      	2024-08-23	00:10:06	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000000       
L 1373 LN      	2024-08-23	00:10:06	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.001003       
1B 1882 SEO    	2024-08-23	00:10:07	genap       	aJOZeVXPm3VDRF+4DJvtMw==        	0.000000       
B 1882 SEO     	2024-08-23	00:10:07	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000000       
B 1882 SEO     	2024-08-23	00:10:09	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.001000       
B 1682 SEO     	2024-08-23	00:10:09	genap       	AKzAmxR6xGE3pblM6l+BkA==        	0.000000       
B 1505 ZF      	2024-08-23	00:10:10	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        	0.000000       
B 1505 ZFX     	2024-08-23	00:10:11	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
8 1882 SEO     	2024-08-23	00:10:11	genap       	uiRmZFOnHpFNpGxAwMVzCQ==        	0.000000       
B 1882 SEO     	2024-08-23	00:10:12	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000000       
B 2123 YJ      	2024-08-23	00:10:13	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000000       
B 1609 PDN     	2024-08-23	00:10:14	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.000000       
B 1609 PDH     	2024-08-23	00:10:14	ganjil      	krcMGvWJ+lxJUdvV/pai2Q==        	0.000000       
B 1609 PDN     	2024-08-23	00:10:15	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.000000       
B 2526 KMB     	2024-08-23	00:10:15	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000000       
B 2526 KMB     	2024-08-23	00:10:16	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000000       
B 2526 KMB     	2024-08-23	00:10:17	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000000       
B 1505 ZFX     	2024-08-23	00:10:17	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
B 1505 ZFX     	2024-08-23	00:10:18	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
B 1505 ZFX     	2024-08-23	00:10:19	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
B 1505 ZFX     	2024-08-23	00:10:19	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
B 1505 ZFX     	2024-08-23	00:10:20	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000000       
iB 2123 YJ     	2024-08-23	00:10:21	ganjil      	fPgZm5d4v0t28XZ622I2tA==        	0.000000       
B 2123 YJ      	2024-08-23	00:10:21	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000000       
B 2123 YJ      	2024-08-23	00:10:22	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000000       
q 2123 YJ      	2024-08-23	00:10:23	ganjil      	eLHz2JC6R2sgxvLUqfuHgQ==        	0.000000       
B 1095 LKU     	2024-08-23	00:10:23	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000000       
B 1095 LKU     	2024-08-23	00:10:24	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000000       
B 1095 LKU     	2024-08-23	00:10:24	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000000       
B 1095 UKU     	2024-08-23	00:10:25	ganjil      	wkNm8GeXDSJ1wIKJ2Rc+Iw==        	0.000000       
L 1373 LN      	2024-08-23	00:10:26	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000000       
L 1373 LN      	2024-08-23	00:10:26	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000000       
L 1373 LN      	2024-08-23	00:10:27	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000000       
B 1882 SEO     	2024-08-23	00:10:28	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000000       
B 1882 SEO     	2024-08-23	00:10:28	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000000       

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    	Waktu Enkripsi (ms)
B 1609 PDM     	2024-08-23	00:13:26	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        	2.000          
B 1609 PDN     	2024-08-23	00:13:27	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.000          
B 1609 PDM     	2024-08-23	00:13:27	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        	0.000          
B 1669 PDM     	2024-08-23	00:13:28	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        	0.000          
B 1669 PDM     	2024-08-23	00:13:28	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:29	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:30	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
B 2526 KMB     	2024-08-23	00:13:30	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000          
B 2526 KMB     	2024-08-23	00:13:31	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000          
B 1095 LKU     	2024-08-23	00:13:32	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000          
B 1095 LKU     	2024-08-23	00:13:32	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000          
B 2123 YJ      	2024-08-23	00:13:33	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000          
B 2123 YJ      	2024-08-23	00:13:34	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000          
B 2123 YJ      	2024-08-23	00:13:35	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000          
L 1373 LN      	2024-08-23	00:13:35	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000          
L 1373 LN      	2024-08-23	00:13:36	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000          
L 1373 LN      	2024-08-23	00:13:37	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000          
1B 1882 SEO    	2024-08-23	00:13:37	genap       	aJOZeVXPm3VDRF+4DJvtMw==        	0.000          
B 1882 SEO     	2024-08-23	00:13:38	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000          
B 1882 SEO     	2024-08-23	00:13:39	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000          
B 1682 SEO     	2024-08-23	00:13:39	genap       	AKzAmxR6xGE3pblM6l+BkA==        	1.001          
B 1505 ZF      	2024-08-23	00:13:40	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:41	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
8 1882 SEO     	2024-08-23	00:13:41	genap       	uiRmZFOnHpFNpGxAwMVzCQ==        	0.000          
B 1882 SEO     	2024-08-23	00:13:42	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000          
B 2123 YJ      	2024-08-23	00:13:43	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000          
B 1609 PDN     	2024-08-23	00:13:43	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.000          
B 1609 PDH     	2024-08-23	00:13:44	ganjil      	krcMGvWJ+lxJUdvV/pai2Q==        	0.000          
B 1609 PDN     	2024-08-23	00:13:45	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.000          
B 2526 KMB     	2024-08-23	00:13:45	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000          
B 2526 KMB     	2024-08-23	00:13:46	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000          
B 2526 KMB     	2024-08-23	00:13:47	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:47	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:48	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:49	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:49	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
B 1505 ZFX     	2024-08-23	00:13:50	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.000          
iB 2123 YJ     	2024-08-23	00:13:51	ganjil      	fPgZm5d4v0t28XZ622I2tA==        	0.000          
B 2123 YJ      	2024-08-23	00:13:51	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000          
B 2123 YJ      	2024-08-23	00:13:52	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.000          
q 2123 YJ      	2024-08-23	00:13:53	ganjil      	eLHz2JC6R2sgxvLUqfuHgQ==        	0.000          
B 1095 LKU     	2024-08-23	00:13:54	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000          
B 1095 LKU     	2024-08-23	00:13:54	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000          
B 1095 LKU     	2024-08-23	00:13:55	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.000          
B 1095 UKU     	2024-08-23	00:13:56	ganjil      	wkNm8GeXDSJ1wIKJ2Rc+Iw==        	0.000          
L 1373 LN      	2024-08-23	00:13:56	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000          
L 1373 LN      	2024-08-23	00:13:57	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.999          
L 1373 LN      	2024-08-23	00:13:58	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.000          
B 1882 SEO     	2024-08-23	00:13:58	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000          
B 1882 SEO     	2024-08-23	00:13:59	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.000          

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    	Waktu Enkripsi (ms)
B 1609 PDM     	2024-08-23	00:18:19	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        	1.446          
B 1609 PDN     	2024-08-23	00:18:19	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.060          
B 1609 PDM     	2024-08-23	00:18:20	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        	0.072          
B 1669 PDM     	2024-08-23	00:18:21	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        	0.043          
B 1669 PDM     	2024-08-23	00:18:21	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        	0.064          
B 1505 ZFX     	2024-08-23	00:18:22	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.047          
B 1505 ZFX     	2024-08-23	00:18:22	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.052          
B 2526 KMB     	2024-08-23	00:18:23	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.049          
B 2526 KMB     	2024-08-23	00:18:24	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.047          
B 1095 LKU     	2024-08-23	00:18:24	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.051          
B 1095 LKU     	2024-08-23	00:18:25	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.044          
B 2123 YJ      	2024-08-23	00:18:26	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.044          
B 2123 YJ      	2024-08-23	00:18:26	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.046          
B 2123 YJ      	2024-08-23	00:18:27	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.042          
L 1373 LN      	2024-08-23	00:18:28	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.042          
L 1373 LN      	2024-08-23	00:18:28	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.045          
L 1373 LN      	2024-08-23	00:18:29	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.070          
1B 1882 SEO    	2024-08-23	00:18:30	genap       	aJOZeVXPm3VDRF+4DJvtMw==        	0.045          
B 1882 SEO     	2024-08-23	00:18:30	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.055          
B 1882 SEO     	2024-08-23	00:18:31	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.042          
B 1682 SEO     	2024-08-23	00:18:32	genap       	AKzAmxR6xGE3pblM6l+BkA==        	0.063          
B 1505 ZF      	2024-08-23	00:18:32	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        	0.044          
B 1505 ZFX     	2024-08-23	00:18:33	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.048          
8 1882 SEO     	2024-08-23	00:18:34	genap       	uiRmZFOnHpFNpGxAwMVzCQ==        	0.048          
B 1882 SEO     	2024-08-23	00:18:34	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.047          
B 2123 YJ      	2024-08-23	00:18:35	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.041          
B 1609 PDN     	2024-08-23	00:18:36	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.043          
B 1609 PDH     	2024-08-23	00:18:36	ganjil      	krcMGvWJ+lxJUdvV/pai2Q==        	0.048          
B 1609 PDN     	2024-08-23	00:18:37	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        	0.051          
B 2526 KMB     	2024-08-23	00:18:38	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.046          
B 2526 KMB     	2024-08-23	00:18:38	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.045          
B 2526 KMB     	2024-08-23	00:18:39	genap       	tQU7hmsle73ygXkSLM+pJw==        	0.044          
B 1505 ZFX     	2024-08-23	00:18:40	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.041          
B 1505 ZFX     	2024-08-23	00:18:40	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.042          
B 1505 ZFX     	2024-08-23	00:18:41	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.045          
B 1505 ZFX     	2024-08-23	00:18:42	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.050          
B 1505 ZFX     	2024-08-23	00:18:42	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        	0.042          
iB 2123 YJ     	2024-08-23	00:18:43	ganjil      	fPgZm5d4v0t28XZ622I2tA==        	0.048          
B 2123 YJ      	2024-08-23	00:18:44	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.043          
B 2123 YJ      	2024-08-23	00:18:44	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        	0.049          
q 2123 YJ      	2024-08-23	00:18:45	ganjil      	eLHz2JC6R2sgxvLUqfuHgQ==        	0.043          
B 1095 LKU     	2024-08-23	00:18:46	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.048          
B 1095 LKU     	2024-08-23	00:18:46	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.040          
B 1095 LKU     	2024-08-23	00:18:47	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        	0.062          
B 1095 UKU     	2024-08-23	00:18:48	ganjil      	wkNm8GeXDSJ1wIKJ2Rc+Iw==        	0.048          
L 1373 LN      	2024-08-23	00:18:48	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.041          
L 1373 LN      	2024-08-23	00:18:49	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.047          
L 1373 LN      	2024-08-23	00:18:50	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        	0.059          
B 1882 SEO     	2024-08-23	00:18:50	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.048          
B 1882 SEO     	2024-08-23	00:18:51	genap       	XHnwdj5OE4hbvNCLdlVnVw==        	0.042          
