Tanggal        	Waktu          	NoPlat    	Enkripsi                                          	Decode                                            	Waktu Dekripsi (ms) 
2024-08-23     	12:36:37       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-23     	12:36:38       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.014               
2024-08-23     	16:09:42       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.012               
2024-08-23     	16:09:45       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-23     	16:09:46       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.011               
2024-08-23     	16:09:48       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.011               
2024-08-23     	16:09:49       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.011               
2024-08-23     	16:09:50       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:09:51       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:09:52       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	16:09:54       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	16:09:55       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-23     	16:09:56       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.017               
2024-08-23     	16:09:57       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.017               
2024-08-23     	16:09:58       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.017               
2024-08-23     	16:09:59       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.012               
2024-08-23     	16:10:00       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	16:10:01       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	16:10:02       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	16:10:04       	1B 1882 SEO    	aJOZeVXPm3VDRF+4DJvtMw==                          	1B 1882 SEO                                       	0.011               
2024-08-23     	16:10:05       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-23     	16:10:06       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-23     	16:10:07       	7B 1882 SEQ    	ScsPV5mFPAvXBkwGhHjOEg==                          	7B 1882 SEQ                                       	0.011               
2024-08-23     	16:10:08       	B 1682 SEO     	AKzAmxR6xGE3pblM6l+BkA==                          	B 1682 SEO                                        	0.011               
2024-08-23     	16:10:58       	B 1505 ZF      	gu1tqoY7nbjY3Rf0gzV8sA==                          	B 1505 ZF                                         	0.011               
2024-08-23     	16:11:00       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:12:41       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-23     	16:12:43       	B 1609 PDH     	krcMGvWJ+lxJUdvV/pai2Q==                          	B 1609 PDH                                        	0.011               
2024-08-23     	16:12:44       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-23     	16:12:45       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	16:12:46       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	16:12:47       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	16:12:49       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:12:50       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:12:51       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:12:52       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:12:53       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	16:12:55       	iB 2123 YJ     	fPgZm5d4v0t28XZ622I2tA==                          	iB 2123 YJ                                        	0.011               
2024-08-23     	16:12:56       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-23     	16:12:57       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-23     	16:12:58       	q 2123 YJ      	eLHz2JC6R2sgxvLUqfuHgQ==                          	q 2123 YJ                                         	0.011               
2024-08-23     	16:12:59       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.020               
2024-08-23     	16:13:01       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-23     	16:13:02       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-23     	16:13:03       	B 1095 UKU     	wkNm8GeXDSJ1wIKJ2Rc+Iw==                          	B 1095 UKU                                        	0.011               
2024-08-23     	16:13:04       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	16:13:05       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	16:13:06       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	16:13:07       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.013               
2024-08-23     	16:13:08       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-24     	20:14:03       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.012               
2024-08-24     	20:14:17       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-24     	20:14:18       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.011               
2024-08-24     	20:14:19       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.011               
2024-08-24     	20:14:20       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.011               
2024-08-24     	20:14:21       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-24     	20:14:22       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-24     	20:14:23       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-24     	20:14:24       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-22     	20:17:36       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.012               
2024-08-22     	20:21:33       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-22     	20:22:34       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.011               
2024-08-22     	20:23:02       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.011               
2024-08-22     	20:25:03       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.010               
2024-08-22     	20:25:19       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	20:26:42       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-22     	20:26:56       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-22     	20:27:20       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-22     	20:27:22       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-22     	20:27:54       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
